opportunity_id,account_name,owner,segment,region,stage,amount,probability,expected_close_date,is_closed_won,created_date,join_key
OPP_00001,Account_1,Rep_7,SMB,APAC,Proposal,90934,0.4441299505886157,2025-02-20,0,2024-12-06,1
OPP_00002,Account_2,Rep_20,SMB,AMER,Qualification,99622,0.42581377927846636,2025-01-03,0,2024-06-25,1
OPP_00003,Account_3,Rep_15,Mid,APAC,Negotiation,16329,0.4837613631729061,2025-06-27,0,2024-06-22,1
OPP_00004,Account_4,Rep_11,SMB,AMER,Proposal,16791,0.6670666870729671,2025-06-03,0,2024-03-22,1
OPP_00005,Account_5,Rep_8,Mid,EMEA,Proposal,53627,0.5672150825010693,2025-01-31,1,2024-01-21,1
OPP_00006,Account_6,Rep_7,Mid,APAC,Qualification,15372,0.6000225659241734,2025-04-10,1,2024-06-27,1
OPP_00007,Account_7,Rep_19,Enterprise,APAC,Negotiation,93890,0.5999117816498405,2025-03-03,0,2024-11-25,1
OPP_00008,Account_8,Rep_11,Enterprise,AMER,Proposal,49469,0.6768884874763476,2025-06-03,0,2024-08-12,1
OPP_00009,Account_9,Rep_11,Mid,APAC,Qualification,88073,0.557630008308051,2025-04-18,0,2024-09-21,1
OPP_00010,Account_10,Rep_4,SMB,APAC,Negotiation,35370,0.5717696145357838,2025-02-24,0,2024-09-25,1
OPP_00011,Account_11,Rep_8,SMB,EMEA,Negotiation,52408,0.7377612482386313,2025-06-05,1,2024-09-07,1
OPP_00012,Account_12,Rep_3,SMB,EMEA,Closed Lost,91941,0.3669908163993776,2025-02-13,0,2024-09-29,1
OPP_00013,Account_13,Rep_2,SMB,EMEA,Qualification,24703,0.32885148400969855,2025-03-22,0,2024-12-08,1
OPP_00014,Account_14,Rep_12,SMB,APAC,Closed Won,16234,0.2628156801626288,2025-06-15,0,2024-09-28,1
OPP_00015,Account_15,Rep_6,SMB,APAC,Negotiation,8532,0.5365829127240512,2025-01-30,0,2024-10-06,1
OPP_00016,Account_16,Rep_2,Enterprise,APAC,Qualification,36416,0.1292535517561753,2025-03-07,0,2024-08-10,1
OPP_00017,Account_17,Rep_1,Mid,APAC,Negotiation,73439,0.5924308192119354,2025-05-16,0,2024-03-15,1
OPP_00018,Account_18,Rep_12,SMB,EMEA,Proposal,19242,0.4781613810998895,2025-01-14,0,2024-05-30,1
OPP_00019,Account_19,Rep_12,Mid,AMER,Closed Lost,51254,0.7269279399642113,2025-04-11,0,2024-12-24,1
OPP_00020,Account_20,Rep_17,SMB,APAC,Qualification,80324,0.3656165379070019,2025-04-16,0,2024-12-07,1
OPP_00021,Account_21,Rep_10,Mid,EMEA,Negotiation,36249,0.45933634291649866,2025-04-13,0,2024-04-14,1
OPP_00022,Account_22,Rep_16,Mid,EMEA,Proposal,96049,0.7244406666586738,2025-03-03,0,2024-02-11,1
OPP_00023,Account_23,Rep_15,Mid,AMER,Closed Lost,86078,0.7766271293556305,2025-03-16,0,2024-06-24,1
OPP_00024,Account_24,Rep_15,Mid,AMER,Proposal,33294,0.363969526849636,2025-03-20,0,2024-09-01,1
OPP_00025,Account_25,Rep_19,Enterprise,AMER,Closed Lost,60784,0.5363562465174321,2025-04-17,0,2024-09-09,1
OPP_00026,Account_26,Rep_12,Enterprise,APAC,Closed Lost,4684,0.5588837955368097,2025-04-06,0,2024-09-30,1
OPP_00027,Account_27,Rep_20,Mid,APAC,Proposal,24795,0.5747306811242296,2025-02-09,0,2024-11-29,1
OPP_00028,Account_28,Rep_3,Mid,EMEA,Closed Won,61301,0.44748486813687555,2025-05-21,0,2024-04-01,1
OPP_00029,Account_29,Rep_5,Mid,APAC,Closed Lost,70187,0.756276679624727,2025-04-17,0,2024-01-11,1
OPP_00030,Account_30,Rep_19,SMB,EMEA,Proposal,11431,0.12205930327569092,2025-01-17,0,2024-05-31,1
OPP_00031,Account_31,Rep_7,SMB,AMER,Proposal,76667,0.4157739530397832,2025-01-15,0,2024-07-07,1
OPP_00032,Account_32,Rep_9,SMB,AMER,Negotiation,90627,0.5895861465545894,2025-06-10,0,2024-06-12,1
OPP_00033,Account_33,Rep_7,Mid,AMER,Proposal,91381,0.5914449623898688,2025-01-16,0,2024-05-05,1
OPP_00034,Account_34,Rep_18,Mid,EMEA,Qualification,91027,0.7705518061229526,2025-01-13,1,2024-07-29,1
OPP_00035,Account_35,Rep_4,SMB,EMEA,Qualification,56372,0.7396450786402574,2025-05-31,0,2024-04-06,1
OPP_00036,Account_36,Rep_14,Enterprise,EMEA,Proposal,71366,0.44289167493855525,2025-02-05,0,2024-11-04,1
